"[N,i]",no. vertices,no. edges,transitivity,worthy,bipartite,order of symmetry group,order of a vertex stabilizer,order of dart stabilizer,no. of semi-transitive orientations,girth,dimeter,name,id
"C4[ 384, 304 ]",384,768,dart-transitive,TRUE,TRUE,1536,4,1,1,6,8,"UG(ATD[384,617])",4262
"C4[ 384, 305 ]",384,768,dart-transitive,TRUE,TRUE,3072,8,2,2,8,8,"UG(ATD[384,618])",4263
"C4[ 384, 306 ]",384,768,dart-transitive,TRUE,TRUE,1536,4,1,3,8,8,"UG(ATD[384,620])",4264
"C4[ 384, 307 ]",384,768,dart-transitive,TRUE,TRUE,3072,8,2,2,8,8,"UG(ATD[384,623])",4265
"C4[ 384, 308 ]",384,768,dart-transitive,TRUE,TRUE,1536,4,1,3,6,8,"UG(ATD[384,625])",4266
"C4[ 384, 309 ]",384,768,dart-transitive,TRUE,TRUE,3072,8,2,2,8,8,"UG(ATD[384,628])",4267
"C4[ 384, 310 ]",384,768,dart-transitive,TRUE,TRUE,3072,8,2,2,6,8,"UG(ATD[384,630])",4268
"C4[ 384, 311 ]",384,768,dart-transitive,TRUE,TRUE,3072,8,2,2,6,8,"UG(ATD[384,632])",4269
"C4[ 384, 312 ]",384,768,dart-transitive,TRUE,TRUE,3072,8,2,2,8,8,"UG(ATD[384,634])",4270
"C4[ 384, 313 ]",384,768,dart-transitive,TRUE,TRUE,1536,4,1,3,6,8,"UG(ATD[384,636])",4271
"C4[ 384, 314 ]",384,768,dart-transitive,TRUE,TRUE,1536,4,1,1,8,8,"UG(ATD[384,639])",4272
"C4[ 384, 315 ]",384,768,dart-transitive,TRUE,TRUE,1536,4,1,1,8,8,"UG(ATD[384,640])",4273
"C4[ 384, 316 ]",384,768,dart-transitive,TRUE,TRUE,1536,4,1,1,8,8,"UG(ATD[384,641])",4274
"C4[ 384, 317 ]",384,768,dart-transitive,TRUE,TRUE,1536,4,1,1,8,8,"UG(ATD[384,642])",4275
"C4[ 384, 318 ]",384,768,dart-transitive,TRUE,TRUE,1536,4,1,1,8,8,"UG(ATD[384,643])",4276
"C4[ 384, 319 ]",384,768,dart-transitive,TRUE,TRUE,1536,4,1,1,8,8,"UG(ATD[384,644])",4277
"C4[ 384, 320 ]",384,768,dart-transitive,TRUE,TRUE,3072,8,2,1,8,12,"UG(ATD[384,645])",4278
"C4[ 384, 321 ]",384,768,semisymmetric,TRUE,TRUE,786432,4096,1024,0,4,12,"PL(ATD[6,1]#ATD[16,1])",4279
"C4[ 384, 322 ]",384,768,semisymmetric,TRUE,TRUE,786432,4096,1024,0,4,12,"PL(ATD[6,1]#ATD[16,2])",4280
"C4[ 384, 323 ]",384,768,semisymmetric,TRUE,TRUE,786432,4096,1024,0,4,11,"PL(ATD[6,1]#ATD[48,1])",4281
"C4[ 384, 324 ]",384,768,semisymmetric,TRUE,TRUE,786432,4096,1024,0,4,10,"PL(ATD[6,1]#ATD[48,16])",4282
"C4[ 384, 325 ]",384,768,semisymmetric,TRUE,TRUE,1572864,8192,2048,0,4,10,"PL(ATD[6,1]#ATD[48,19])",4283
"C4[ 384, 326 ]",384,768,semisymmetric,TRUE,TRUE,1572864,8192,2048,0,4,10,"PL(ATD[6,1]#ATD[48,21])",4284
"C4[ 384, 327 ]",384,768,semisymmetric,TRUE,TRUE,12884901888,67108864,16777216,0,4,12,"PL(ATD[6,1]#ATD[48,29])",4285
"C4[ 384, 328 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,8,"PL(ATD[8,1]#ATD[12,1])",4286
"C4[ 384, 329 ]",384,768,semisymmetric,TRUE,TRUE,6144,32,8,0,4,10,"PL(ATD[8,1]#ATD[12,4])",4287
"C4[ 384, 330 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,10,"PL(ATD[8,1]#ATD[24,1])",4288
"C4[ 384, 331 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,8,"PL(ATD[8,1]#ATD[24,3])",4289
"C4[ 384, 332 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,8,"PL(ATD[8,1]#ATD[24,5])",4290
"C4[ 384, 333 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,9,"PL(ATD[8,1]#ATD[24,6])",4291
"C4[ 384, 334 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,12,"PL(ATD[8,1]#ATD[24,12])",4292
"C4[ 384, 335 ]",384,768,semisymmetric,TRUE,TRUE,12582912,65536,16384,0,4,12,"PL(ATD[8,2]#ATD[12,1])",4293
"C4[ 384, 336 ]",384,768,semisymmetric,TRUE,TRUE,3072,16,4,0,4,12,"PL(ATD[8,2]#ATD[24,2])",4294
"C4[ 384, 337 ]",384,768,semisymmetric,TRUE,TRUE,3072,16,4,0,4,24,"PL(ATD[8,2]#ATD[24,13])",4295
"C4[ 384, 338 ]",384,768,semisymmetric,TRUE,TRUE,3072,16,4,0,4,12,"PL(ATD[8,2]#ATD[48,12])",4296
"C4[ 384, 339 ]",384,768,semisymmetric,TRUE,TRUE,3072,16,4,0,4,12,"PL(ATD[8,2]#ATD[48,26])",4297
"C4[ 384, 340 ]",384,768,semisymmetric,TRUE,TRUE,49152,256,64,0,4,12,"PL(ATD[8,2]#ATD[48,27])",4298
"C4[ 384, 341 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,10,"PL(ATD[12,1]#DCyc[8])",4299
"C4[ 384, 342 ]",384,768,semisymmetric,TRUE,TRUE,1536,8,2,0,4,8,"PL(ATD[12,2]#ATD[32,4])",4300
"C4[ 384, 343 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,8,"PL(ATD[12,2]#ATD[32,7])",4301
"C4[ 384, 344 ]",384,768,semisymmetric,TRUE,TRUE,1536,8,2,0,4,10,"PL(ATD[12,2]#ATD[32,8])",4302
"C4[ 384, 345 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,8,"PL(ATD[12,2]#ATD[32,11])",4303
"C4[ 384, 346 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,12,"PL(ATD[12,3]#ATD[16,2])",4304
"C4[ 384, 347 ]",384,768,semisymmetric,TRUE,TRUE,6144,32,8,0,4,10,"PL(ATD[12,4]#DCyc[8])",4305
"C4[ 384, 348 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,10,"PL(ATD[12,4]#ATD[24,7])",4306
"C4[ 384, 349 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,8,"PL(ATD[12,4]#ATD[24,9])",4307
"C4[ 384, 350 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,8,"PL(ATD[16,2]#ATD[24,5])",4308
"C4[ 384, 351 ]",384,768,semisymmetric,TRUE,TRUE,1536,8,2,0,4,8,"PL(ATD[16,4]#ATD[24,5])",4309
"C4[ 384, 352 ]",384,768,semisymmetric,TRUE,TRUE,49152,256,64,0,4,10,"PL(ATD[24,8]#DCyc[4])",4310
"C4[ 384, 353 ]",384,768,semisymmetric,TRUE,TRUE,12582912,65536,16384,0,4,10,"PL(ATD[48,15]#DCyc[4])",4311
"C4[ 384, 354 ]",384,768,semisymmetric,TRUE,TRUE,12582912,65536,16384,0,4,8,"PL(ATD[48,18]#DCyc[4])",4312
"C4[ 384, 355 ]",384,768,semisymmetric,TRUE,TRUE,49152,256,64,0,4,10,"PL(ATD[48,20]#DCyc[4])",4313
"C4[ 384, 356 ]",384,768,semisymmetric,TRUE,TRUE,49152,256,64,0,4,12,"PL(ATD[48,23]#DCyc[4])",4314
"C4[ 384, 357 ]",384,768,semisymmetric,TRUE,TRUE,49152,256,64,0,4,12,"PL(ATD[48,24]#DCyc[4])",4315
"C4[ 384, 358 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,8,"XI(Rmap(192,5){4,6|8}_6)",4316
"C4[ 384, 359 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,8,"XI(Rmap(192,6){4,6|8}_12)",4317
"C4[ 384, 360 ]",384,768,semisymmetric,FALSE,TRUE,30423614405477506e15,15845632502852868e13,3961408125713217e13,0,4,12,"SDD(UG(ATD[96,11]))",4318
"C4[ 384, 361 ]",384,768,semisymmetric,FALSE,TRUE,6084722881095501e16,31691265005705735e13,7922816251426434e13,0,4,12,"SDD(PX(6,4))",4319
"C4[ 384, 362 ]",384,768,semisymmetric,FALSE,TRUE,30423614405477506e15,15845632502852868e13,3961408125713217e13,0,4,12,"SDD(KE_24(1,9,8,5,5))",4320
"C4[ 384, 363 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,10,"XI(Rmap(192,26){6,6|6}_8)",4321
"C4[ 384, 364 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,9,"XI(Rmap(192,27){6,6|3}_8)",4322
"C4[ 384, 365 ]",384,768,semisymmetric,TRUE,TRUE,824633720832,4294967296,1073741824,0,4,11,"XI(Rmap(192,28){6,6|12}_8)",4323
"C4[ 384, 366 ]",384,768,semisymmetric,TRUE,TRUE,3072,16,4,0,4,8,"XI(Rmap(192,29){6,6|12}_8)",4324
"C4[ 384, 367 ]",384,768,semisymmetric,FALSE,TRUE,7788445287802241e18,4056481920730334e16,10141204801825835e15,0,4,12,"SDD(PX(12,3))",4325
"C4[ 384, 368 ]",384,768,semisymmetric,TRUE,TRUE,49152,256,64,0,4,9,"XI(Rmap(192,47){6,8|8}_6)",4326
"C4[ 384, 369 ]",384,768,semisymmetric,TRUE,TRUE,49152,256,64,0,4,8,"XI(Rmap(192,66){8,6|8}_12)",4327
"C4[ 384, 370 ]",384,768,semisymmetric,FALSE,TRUE,6380294379767596e22,332306998946229e21,8307674973655724e19,0,4,24,"SDD(MPS(4,48;11))",4328
"C4[ 384, 371 ]",384,768,semisymmetric,FALSE,TRUE,21408715390589398e29,11150372599265312e27,2787593149816328e27,0,4,48,"SDD(W(48,2))",4329
"C4[ 384, 372 ]",384,768,semisymmetric,FALSE,TRUE,12169445762191002e16,6338253001141147e14,15845632502852868e13,0,4,12,"SDD(KE_24(1,11,8,3,7))",4330
"C4[ 384, 373 ]",384,768,semisymmetric,FALSE,TRUE,30423614405477506e15,15845632502852868e13,3961408125713217e13,0,4,12,"SDD(AMC(6,8,[5.5:5.2]))",4331
"C4[ 384, 374 ]",384,768,semisymmetric,FALSE,TRUE,30423614405477506e15,15845632502852868e13,3961408125713217e13,0,4,12,"SDD(UG(ATD[96,61]))",4332
"C4[ 384, 375 ]",384,768,semisymmetric,FALSE,TRUE,30423614405477506e15,15845632502852868e13,3961408125713217e13,0,4,32,"SDD(C_96(1,31))",4333
"C4[ 384, 376 ]",384,768,semisymmetric,FALSE,TRUE,6084722881095501e16,31691265005705735e13,7922816251426434e13,0,4,12,"SDD(PS(8,24;5))",4334
"C4[ 384, 377 ]",384,768,semisymmetric,FALSE,TRUE,30423614405477506e15,15845632502852868e13,3961408125713217e13,0,4,12,"SDD(KE_24(1,11,2,15,1))",4335
"C4[ 384, 378 ]",384,768,semisymmetric,FALSE,TRUE,30423614405477506e15,15845632502852868e13,3961408125713217e13,0,4,16,"SDD({4,4}_[8,6])",4336
"C4[ 384, 379 ]",384,768,semisymmetric,FALSE,TRUE,30423614405477506e15,15845632502852868e13,3961408125713217e13,0,4,24,"SDD({4,4}_[12,4])",4337
"C4[ 384, 380 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,9,"XI(Rmap(192,458){8,6|4}_12)",4338
"C4[ 384, 381 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,9,"XI(Rmap(192,459){8,6|4}_12)",4339
"C4[ 384, 382 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,16,"PL(CSI(Octahedron[3^4],16))",4340
"C4[ 384, 383 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,8,"PL(CSI(R_12(11,4)[3^16],8))",4341
"C4[ 384, 384 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,9,"PL(CSI(R_12(5,10)[6^8],8))",4342
"C4[ 384, 385 ]",384,768,semisymmetric,TRUE,TRUE,3072,16,4,0,4,24,"PL(CS(W(24,2)[24^4],0))",4343
"C4[ 384, 386 ]",384,768,semisymmetric,TRUE,TRUE,3072,16,4,0,4,24,"PL(CS(W(24,2)[24^4],1))",4344
"C4[ 384, 387 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,12,"PL(CS(C_48(1,7)[48^2],1))",4345
"C4[ 384, 388 ]",384,768,semisymmetric,TRUE,TRUE,49152,256,64,0,4,12,"PL(CS(MPS(4,24;5)[12^8],1))",4346
"C4[ 384, 389 ]",384,768,semisymmetric,TRUE,TRUE,49152,256,64,0,4,12,"PL(CS(MPS(4,24;5)[12^8],1))",4347
"C4[ 384, 390 ]",384,768,semisymmetric,TRUE,TRUE,49152,256,64,0,4,10,"PL(CS(R_24(20,7)[12^8],1))",4348
"C4[ 384, 391 ]",384,768,semisymmetric,TRUE,TRUE,3072,16,4,0,4,10,"PL(CS(R_24(20,7)[24^4],0))",4349
"C4[ 384, 392 ]",384,768,semisymmetric,TRUE,TRUE,3072,16,4,0,4,10,"PL(CS(R_24(20,7)[24^4],1))",4350
"C4[ 384, 393 ]",384,768,semisymmetric,TRUE,TRUE,1536,8,2,0,4,8,"BGCG(R_24(20,7),C_4,{3,4,5,6})",4351
"C4[ 384, 394 ]",384,768,semisymmetric,TRUE,TRUE,3072,16,4,0,4,8,"PL(CS(R_24(8,19)[24^4],0))",4352
"C4[ 384, 395 ]",384,768,semisymmetric,TRUE,TRUE,3072,16,4,0,4,8,"PL(CS(R_24(8,19)[24^4],1))",4353
"C4[ 384, 396 ]",384,768,semisymmetric,TRUE,TRUE,12582912,65536,16384,0,4,8,"PL(CS(R_24(8,19)[6^16],1))",4354
"C4[ 384, 397 ]",384,768,semisymmetric,TRUE,TRUE,6144,32,8,0,8,8,"BGCG(R_24(8,19),C_4,{1,2})",4355
"C4[ 384, 398 ]",384,768,semisymmetric,TRUE,TRUE,12288,64,16,0,8,8,"BGCG(R_24(8,19),C_4,{3,4,5,6})",4356
"C4[ 384, 399 ]",384,768,semisymmetric,TRUE,TRUE,12884901888,67108864,16777216,0,4,12,"PL(CS(PX(6,3)[4^24],1))",4357
"C4[ 384, 400 ]",384,768,semisymmetric,TRUE,TRUE,12582912,65536,16384,0,4,12,"PL(CS(PX(6,3)[6^16],0))",4358
"C4[ 384, 401 ]",384,768,semisymmetric,TRUE,TRUE,12582912,65536,16384,0,4,12,"PL(CS(PX(6,3)[6^16],1))",4359
"C4[ 384, 402 ]",384,768,semisymmetric,TRUE,TRUE,49152,256,64,0,4,12,"PL(CS(PX(6,3)[12^8],1))",4360
"C4[ 384, 403 ]",384,768,semisymmetric,TRUE,TRUE,12582912,65536,16384,0,4,12,"PL(CS(PX(6,3)[6^16],1))",4361
"C4[ 384, 404 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,8,8,"BGCG(PX(6,3),C_4,{1,2})",4362
"C4[ 384, 405 ]",384,768,semisymmetric,TRUE,TRUE,6144,32,8,0,8,8,"BGCG(PX(6,3),C_4,{7,10})",4363
"C4[ 384, 406 ]",384,768,semisymmetric,TRUE,TRUE,3072,16,4,0,8,8,"BGCG(PX(6,3),C_4,{8,9})",4364
"C4[ 384, 407 ]",384,768,semisymmetric,TRUE,TRUE,49152,256,64,0,4,10,"PL(CS(KE_12(1,7,4,9,1)[12^8],1))",4365
"C4[ 384, 408 ]",384,768,semisymmetric,TRUE,TRUE,12582912,65536,16384,0,4,10,"PL(CS(KE_12(1,7,4,9,1)[6^16],1))",4366
"C4[ 384, 409 ]",384,768,semisymmetric,TRUE,TRUE,786432,4096,1024,0,4,10,"PL(CS(KE_12(1,7,4,9,1)[8^12],1))",4367
"C4[ 384, 410 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,8,8,"BGCG(KE_12(1,7,4,9,1),C_4,{10,11})",4368
"C4[ 384, 411 ]",384,768,semisymmetric,TRUE,TRUE,786432,4096,1024,0,4,11,"PL(CS(AMC(3,8,[5.5:5.2])[8^12],1))",4369
"C4[ 384, 412 ]",384,768,semisymmetric,TRUE,TRUE,824633720832,4294967296,1073741824,0,4,11,"PL(CS(AMC(3,8,[5.5:5.2])[3^32],1))",4370
"C4[ 384, 413 ]",384,768,semisymmetric,TRUE,TRUE,12582912,65536,16384,0,4,11,"PL(CS(AMC(3,8,[5.5:5.2])[6^16],0))",4371
"C4[ 384, 414 ]",384,768,semisymmetric,TRUE,TRUE,12582912,65536,16384,0,4,11,"PL(CS(AMC(3,8,[5.5:5.2])[6^16],1))",4372
"C4[ 384, 415 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,6,8,"BGCG(AMC(3,8,[5.5:5.2]),C_4,2)",4373
"C4[ 384, 416 ]",384,768,semisymmetric,FALSE,TRUE,30423614405477506e15,15845632502852868e13,3961408125713217e13,0,4,16,"SDD(C_96(1,17))",4374
"C4[ 384, 417 ]",384,768,semisymmetric,FALSE,TRUE,30423614405477506e15,15845632502852868e13,3961408125713217e13,0,4,16,"SDD({4,4}_<10,2>)",4375
"C4[ 384, 418 ]",384,768,semisymmetric,FALSE,TRUE,30423614405477506e15,15845632502852868e13,3961408125713217e13,0,4,24,"SDD({4,4}_<14,10>)",4376
"C4[ 384, 419 ]",384,768,semisymmetric,FALSE,TRUE,30423614405477506e15,15845632502852868e13,3961408125713217e13,0,4,12,"SDD(PS(12,16;3))",4377
"C4[ 384, 420 ]",384,768,semisymmetric,FALSE,TRUE,30423614405477506e15,15845632502852868e13,3961408125713217e13,0,4,12,"SDD(MPS(12,16;3))",4378
"C4[ 384, 421 ]",384,768,semisymmetric,FALSE,TRUE,30423614405477506e15,15845632502852868e13,3961408125713217e13,0,4,12,"SDD(R_48(38,13))",4379
"C4[ 384, 422 ]",384,768,semisymmetric,TRUE,TRUE,1536,8,2,0,8,12,"BGCG(R_48(38,13);K2;{2,3})",4380
"C4[ 384, 423 ]",384,768,semisymmetric,TRUE,TRUE,3072,16,4,0,4,8,"BGCG(PX(6,4);K2;{2,3,9,10})",4381
"C4[ 384, 424 ]",384,768,semisymmetric,FALSE,TRUE,6084722881095501e16,31691265005705735e13,7922816251426434e13,0,4,12,"SDD(MSY(4,24,13,4))",4382
"C4[ 384, 425 ]",384,768,semisymmetric,FALSE,TRUE,6084722881095501e16,31691265005705735e13,7922816251426434e13,0,4,12,"SDD(KE_24(1,13,10,21,1))",4383
"C4[ 384, 426 ]",384,768,semisymmetric,FALSE,TRUE,12169445762191002e16,6338253001141147e14,15845632502852868e13,0,4,12,"SDD(KE_24(1,13,4,21,5))",4384
"C4[ 384, 427 ]",384,768,semisymmetric,TRUE,TRUE,6144,32,8,0,8,8,"BGCG(KE_24(1,13,4,21,5);K2;{2,3})",4385
"C4[ 384, 428 ]",384,768,semisymmetric,TRUE,TRUE,3072,16,4,0,8,8,"BGCG(KE_24(1,13,4,21,5);K2;{6,7})",4386
"C4[ 384, 429 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,10,"BGCG(KE_24(1,9,8,5,5);K2;{2,3})",4387
"C4[ 384, 430 ]",384,768,semisymmetric,FALSE,TRUE,30423614405477506e15,15845632502852868e13,3961408125713217e13,0,4,14,"SDD(KE_24(1,1,4,21,7))",4388
"C4[ 384, 431 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,10,"BGCG(KE_24(1,11,8,3,7);K2;{1,2,4,5})",4389
"C4[ 384, 432 ]",384,768,semisymmetric,TRUE,TRUE,6144,32,8,0,8,8,"BGCG(KE_24(1,11,8,3,7);K2;{3,6})",4390
"C4[ 384, 433 ]",384,768,semisymmetric,FALSE,TRUE,6084722881095501e16,31691265005705735e13,7922816251426434e13,0,4,12,"SDD(KE_24(1,11,2,3,11))",4391
"C4[ 384, 434 ]",384,768,semisymmetric,TRUE,TRUE,49152,256,64,0,4,8,"BGCG(AMC(6,8,[5.5:5.2]);K2;{1,2})",4392
"C4[ 384, 435 ]",384,768,semisymmetric,FALSE,TRUE,30423614405477506e15,15845632502852868e13,3961408125713217e13,0,4,12,"SDD(UG(ATD[96,4]))",4393
"C4[ 384, 436 ]",384,768,semisymmetric,TRUE,TRUE,3072,16,4,0,8,8,"BGCG(UG(ATD[96,4]);K2;{2,4})",4394
"C4[ 384, 437 ]",384,768,semisymmetric,TRUE,TRUE,3072,16,4,0,8,8,"BGCG(UG(ATD[96,4]);K2;{3,5})",4395
"C4[ 384, 438 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,10,"BGCG(UG(ATD[96,11]);K2;{3,4})",4396
"C4[ 384, 439 ]",384,768,semisymmetric,FALSE,TRUE,30423614405477506e15,15845632502852868e13,3961408125713217e13,0,4,12,"SDD(UG(ATD[96,13]))",4397
"C4[ 384, 440 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,8,"BGCG(UG(ATD[96,13]);K2;{1,6})",4398
"C4[ 384, 441 ]",384,768,semisymmetric,FALSE,TRUE,6084722881095501e16,31691265005705735e13,7922816251426434e13,0,4,12,"SDD(UG(ATD[96,48]))",4399
"C4[ 384, 442 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,8,"BGCG(UG(ATD[96,48]);K2;{1,3,5,6})",4400
"C4[ 384, 443 ]",384,768,semisymmetric,TRUE,TRUE,3072,16,4,0,8,8,"BGCG(UG(ATD[96,48]);K2;{4,7})",4401
"C4[ 384, 444 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,8,8,"BGCG(UG(ATD[96,48]);K2;{8,9,10,11})",4402
"C4[ 384, 445 ]",384,768,semisymmetric,FALSE,TRUE,30423614405477506e15,15845632502852868e13,3961408125713217e13,0,4,12,"SDD(UG(ATD[96,55]))",4403
"C4[ 384, 446 ]",384,768,semisymmetric,TRUE,TRUE,1536,8,2,0,8,8,"BGCG(MPS(8,48;7);K1;{4,5,6,10})",4404
"C4[ 384, 447 ]",384,768,semisymmetric,TRUE,TRUE,1536,8,2,0,8,8,"BGCG(MPS(8,48;7);K1;{12,18})",4405
"C4[ 384, 448 ]",384,768,semisymmetric,TRUE,TRUE,1536,8,2,0,8,8,"BGCG(MPS(8,48;7);K1;{13,14})",4406
"C4[ 384, 449 ]",384,768,semisymmetric,TRUE,TRUE,1536,8,2,0,4,9,"BGCG(MPS(8,48;7);K1;{16,17})",4407
"C4[ 384, 450 ]",384,768,semisymmetric,TRUE,TRUE,12288,64,16,0,8,8,"BGCG(PX(12,4);K1;{17,18})",4408
"C4[ 384, 451 ]",384,768,semisymmetric,TRUE,TRUE,12288,64,16,0,8,8,"BGCG(PX(12,4);K1;{20,21})",4409
"C4[ 384, 452 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,6,8,"BGCG(PX(6,5);K1;6)",4410
"C4[ 384, 453 ]",384,768,semisymmetric,TRUE,TRUE,3072,16,4,0,4,8,"BGCG(PX(6,5);K1;9)",4411
"C4[ 384, 454 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,8,8,"BGCG(PX(6,5);K1;11)",4412
"C4[ 384, 455 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,8,8,"BGCG(KE_48(1,11,2,39,1);K1;{1,7})",4413
"C4[ 384, 456 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,8,8,"BGCG(KE_48(1,11,2,39,1);K1;{4,5})",4414
"C4[ 384, 457 ]",384,768,semisymmetric,TRUE,TRUE,1536,8,2,0,8,12,"BGCG(KE_48(1,23,2,27,1);K1;{3,4,9,10})",4415
"C4[ 384, 458 ]",384,768,semisymmetric,TRUE,TRUE,1536,8,2,0,8,12,"BGCG(KE_48(1,23,2,27,1);K1;{5,6})",4416
"C4[ 384, 459 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,8,"BGCG(KE_48(1,27,16,19,7);K1;4)",4417
"C4[ 384, 460 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,9,"BGCG(KE_48(1,27,16,19,7);K1;5)",4418
"C4[ 384, 461 ]",384,768,semisymmetric,TRUE,TRUE,1536,8,2,0,8,12,"BGCG(KE_48(1,25,10,45,11);K1;{2,3})",4419
"C4[ 384, 462 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,9,"BGCG(KE_48(1,3,16,19,17);K1;7)",4420
"C4[ 384, 463 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,8,8,"BGCG(KE_48(1,9,22,37,23);K1;{2,3})",4421
"C4[ 384, 464 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,6,8,"BGCG(UG(ATD[192,11]);K1;{1,3})",4422
"C4[ 384, 465 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,6,8,"BGCG(UG(ATD[192,11]);K1;{2,5})",4423
"C4[ 384, 466 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,6,8,"BGCG(UG(ATD[192,11]);K1;{7,9})",4424
"C4[ 384, 467 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,8,8,"BGCG(UG(ATD[192,11]);K1;18)",4425
"C4[ 384, 468 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,6,8,"BGCG(UG(ATD[192,14]);K1;{6,9})",4426
"C4[ 384, 469 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,12,"BGCG(UG(ATD[192,16]);K1;{2,11})",4427
"C4[ 384, 470 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,8,"BGCG(UG(ATD[192,16]);K1;{3,6})",4428
"C4[ 384, 471 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,8,8,"BGCG(UG(ATD[192,19]);K1;{2,6})",4429
"C4[ 384, 472 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,6,12,"BGCG(UG(ATD[192,19]);K1;{3,8})",4430
"C4[ 384, 473 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,8,12,"BGCG(UG(ATD[192,19]);K1;{4,11})",4431
"C4[ 384, 474 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,8,8,"BGCG(UG(ATD[192,19]);K1;{5,10})",4432
"C4[ 384, 475 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,6,8,"BGCG(UG(ATD[192,20]);K1;1)",4433
"C4[ 384, 476 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,8,8,"BGCG(UG(ATD[192,20]);K1;3)",4434
"C4[ 384, 477 ]",384,768,semisymmetric,TRUE,TRUE,3072,16,4,0,8,8,"BGCG(UG(ATD[192,26]);K1;{2,5})",4435
"C4[ 384, 478 ]",384,768,semisymmetric,TRUE,TRUE,3072,16,4,0,8,12,"BGCG(UG(ATD[192,26]);K1;{3,4})",4436
"C4[ 384, 479 ]",384,768,semisymmetric,TRUE,TRUE,3072,16,4,0,8,12,"BGCG(UG(ATD[192,26]);K1;{9,10})",4437
"C4[ 384, 480 ]",384,768,semisymmetric,TRUE,TRUE,1536,8,2,0,8,8,"BGCG(UG(ATD[192,38]);K1;{1,6})",4438
"C4[ 384, 481 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,8,"BGCG(UG(ATD[192,38]);K1;4)",4439
"C4[ 384, 482 ]",384,768,semisymmetric,TRUE,TRUE,768,4,1,0,4,8,"BGCG(UG(ATD[192,38]);K1;5)",4440
"C4[ 384, 483 ]",384,768,semisymmetric,TRUE,TRUE,3072,16,4,0,4,8,"BGCG(UG(ATD[192,38]);K1;7)",4441
"C4[ 384, 484 ]",384,768,semisymmetric,TRUE,TRUE,1536,8,2,0,8,8,"BGCG(UG(ATD[192,38]);K1;{8,10})",4442
