"[N,i]",no. vertices,no. edges,transitivity,worthy,bipartite,order of symmetry group,order of a vertex stabilizer,order of dart stabilizer,no. of semi-transitive orientations,girth,dimeter,name,id
"C4[ 108, 9 ]",108,216,dart-transitive,TRUE,FALSE,432,4,1,2,6,6,"Pr_36(1,25,29,17)",447
"C4[ 108, 10 ]",108,216,dart-transitive,TRUE,TRUE,864,8,2,3,6,6,"CPM(3,2,6,1)",448
"C4[ 108, 11 ]",108,216,dart-transitive,TRUE,TRUE,432,4,1,3,6,6,"AMC(12,3,[0.1:2.2])",449
"C4[ 108, 12 ]",108,216,dart-transitive,TRUE,TRUE,432,4,1,1,6,6,"AMC(12,3,[0.1:1.2])",450
"C4[ 108, 13 ]",108,216,dart-transitive,TRUE,FALSE,432,4,1,2,3,8,"AMC(3,12,[1.1:9.10])",451
"C4[ 108, 14 ]",108,216,semisymmetric,TRUE,TRUE,432,8,2,0,4,6,"PL(RC(3,3),[3^18,6^9])",452
"C4[ 108, 15 ]",108,216,half-arc-transitive,TRUE,FALSE,216,2,1,2,6,5,"UG(ATD[108,1])",453
"C4[ 108, 16 ]",108,216,half-arc-transitive,TRUE,FALSE,216,2,1,2,6,5,"UG(ATD[108,3])",454
"C4[ 108, 17 ]",108,216,dart-transitive,TRUE,TRUE,432,4,1,3,4,6,"UG(ATD[108,14])",455
"C4[ 108, 18 ]",108,216,dart-transitive,TRUE,FALSE,432,4,1,2,6,5,"UG(ATD[108,18])",456
"C4[ 108, 19 ]",108,216,dart-transitive,TRUE,TRUE,432,4,1,3,4,6,"UG(ATD[108,24])",457
"C4[ 108, 20 ]",108,216,dart-transitive,TRUE,TRUE,864,8,2,3,6,6,"UG(ATD[108,27])",458
"C4[ 108, 21 ]",108,216,dart-transitive,TRUE,TRUE,432,4,1,1,6,6,"UG(ATD[108,30])",459
"C4[ 108, 22 ]",108,216,semisymmetric,TRUE,TRUE,216,4,1,0,4,6,"XI(Rmap(54,3){4,12|3}_6)",460
"C4[ 108, 23 ]",108,216,semisymmetric,TRUE,TRUE,216,4,1,0,4,6,"XI(Rmap(54,6){6,6|6}_6)",461
"C4[ 108, 24 ]",108,216,semisymmetric,FALSE,TRUE,28991029248,536870912,134217728,0,4,8,"SDD(AMC(3,3,[0.1:2.2]))",462
"C4[ 108, 25 ]",108,216,semisymmetric,FALSE,TRUE,14495514624,268435456,67108864,0,4,9,"SDD(DW(9,3))",463
"C4[ 109, 1 ]",109,218,dart-transitive,TRUE,FALSE,436,4,1,0,4,9,"C_109(1,33)",464
"C4[ 110, 1 ]",110,220,dart-transitive,FALSE,FALSE,3963167672086036500,36028797018963970,9007199254740992,1,4,27,"W(55,2)",465
