no. vertices,no. edges,order of symmetry group,order of a vertex stabilizer,order of dart stabilizer,no. of semi-transitive orientations,girth,dimeter
35,70,8.525161361065415,4.969813299576001,3.58351893845611,0,6,3
36,72,16.060168188535126,12.476649250079015,11.090354888959125,3,4,9
36,72,4.969813299576001,1.3862943611198906,0.0,3,4,6
36,72,5.662960480135946,2.0794415416798357,0.6931471805599453,3,4,6
36,72,9.128696382935672,5.545177444479562,4.1588830833596715,2,4,4
36,72,4.969813299576001,1.3862943611198906,0.0,2,3,4
36,72,4.969813299576001,1.3862943611198906,0.0,1,6,4
36,72,10.514990744055563,7.6246189861593985,6.238324625039508,0,4,6
37,74,4.997212273764115,1.3862943611198906,0.0,0,4,5
38,76,16.807382590365346,13.16979643063896,11.78350206951907,1,4,9
39,78,5.049856007249537,1.3862943611198906,0.0,2,4,6
39,78,4.356708826689592,0.6931471805599453,0.0,2,3,4
40,80,17.551823065312842,13.862943611198906,12.476649250079015,3,4,10
40,80,5.075173815233827,1.3862943611198906,0.0,3,4,5
40,80,5.075173815233827,1.3862943611198906,0.0,3,4,5
40,80,5.075173815233827,1.3862943611198906,0.0,1,4,6
40,80,5.075173815233827,1.3862943611198906,0.0,1,6,4
40,80,5.075173815233827,1.3862943611198906,0.0,1,6,4
40,80,9.927204079153444,6.238324625039508,4.852030263919617,1,4,5
40,80,5.768320995793772,2.0794415416798357,0.6931471805599453,1,4,5
40,80,4.382026634673881,1.3862943611198906,0.0,0,4,4
40,80,4.382026634673881,1.3862943611198906,0.0,0,4,4
40,80,12.699792801393226,9.704060527839234,8.317766166719343,0,4,5
40,80,12.412110728941444,9.416378455387454,8.030084094267563,0,4,6
41,82,5.099866427824199,1.3862943611198906,0.0,0,4,4
42,84,18.29376041004222,14.556090791758852,13.16979643063896,1,4,10
42,84,5.123963979403259,1.3862943611198906,0.0,3,4,7
42,84,6.51025834052315,2.772588722239781,1.3862943611198906,3,6,4
42,84,5.817111159963204,2.0794415416798357,0.6931471805599453,0,4,5
42,84,5.817111159963204,2.0794415416798357,0.6931471805599453,0,3,5
44,88,19.03342760623706,15.249237972318797,13.862943611198906,3,4,11
44,88,10.715661439517714,6.931471805599453,5.545177444479562,1,4,5
45,90,5.19295685089021,1.3862943611198906,0.0,2,4,5
45,90,5.19295685089021,1.3862943611198906,0.0,2,4,7
45,90,5.19295685089021,1.3862943611198906,0.0,0,4,5
45,90,7.272398392570047,3.4657359027997265,2.0794415416798357,0,3,4
46,92,19.771026549367836,15.942385152878742,14.556090791758852,1,4,11
48,96,20.50673334434658,16.635532333438686,15.249237972318797,3,4,12
48,96,5.2574953720277815,1.3862943611198906,0.0,3,4,6
48,96,5.2574953720277815,1.3862943611198906,0.0,3,4,8
48,96,5.2574953720277815,1.3862943611198906,0.0,3,4,6
48,96,5.2574953720277815,1.3862943611198906,0.0,3,4,6
48,96,11.49581999706729,7.6246189861593985,6.238324625039508,4,4,6
48,96,5.950642552587727,2.0794415416798357,0.6931471805599453,2,6,5
48,96,5.950642552587727,2.0794415416798357,0.6931471805599453,2,6,4
48,96,6.643789733147672,2.772588722239781,1.3862943611198906,3,4,6
48,96,5.950642552587727,2.772588722239781,1.3862943611198906,0,4,5
48,96,5.950642552587727,2.772588722239781,1.3862943611198906,0,4,4
48,96,5.2574953720277815,1.3862943611198906,0.0,3,6,5
48,96,5.950642552587727,2.772588722239781,1.3862943611198906,0,4,5
48,96,5.2574953720277815,1.3862943611198906,0.0,2,3,5
48,96,12.188967177627235,9.010913347279288,7.6246189861593985,0,4,6
48,96,14.961555899867015,11.78350206951907,10.39720770839918,0,4,6
49,98,5.971261839790462,2.0794415416798357,0.6931471805599453,1,4,6
50,100,21.24070251942678,17.328679513998633,15.942385152878742,1,4,12
